,Unnamed: 0,Unnamed: 0.1,time,sim_time,helmet_tracker_yaw,x_0,y_0,z_0,score_0,x_1,y_1,z_1,score_1,x_2,y_2,z_2,score_2,x_3,y_3,z_3,score_3,x_4,y_4,z_4,score_4,x_5,y_5,z_5,score_5,x_6,y_6,z_6,score_6,x_7,y_7,z_7,score_7,x_8,y_8,z_8,score_8,x_9,y_9,z_9,score_9,x_10,y_10,z_10,score_10,x_11,y_11,z_11,score_11,x_12,y_12,z_12,score_12,x_13,y_13,z_13,score_13,x_14,y_14,z_14,score_14,x_15,y_15,z_15,score_15,x_16,y_16,z_16,score_16,TESIS_0_x,TESIS_0_y,TESIS_0_speed,TESIS_0_angle,H_in-C_out.15_x,H_in-C_out.15_y,H_in-C_out.15_speed,H_in-C_out.15_angle,H_in-C_out.16_x,H_in-C_out.16_y,H_in-C_out.16_speed,H_in-C_out.16_angle,H_in-C_out.17_x,H_in-C_out.17_y,H_in-C_out.17_speed,H_in-C_out.17_angle,E_in-C_out.2_x,E_in-C_out.2_y,E_in-C_out.2_speed,E_in-C_out.2_angle,E_in-C_out.3_x,E_in-C_out.3_y,E_in-C_out.3_speed,E_in-C_out.3_angle,E_in-C_out.4_x,E_in-C_out.4_y,E_in-C_out.4_speed,E_in-C_out.4_angle,E_in-C_out.5_x,E_in-C_out.5_y,E_in-C_out.5_speed,E_in-C_out.5_angle,E_in-C_out.6_x,E_in-C_out.6_y,E_in-C_out.6_speed,E_in-C_out.6_angle,H_in-C_out.18_x,H_in-C_out.18_y,H_in-C_out.18_speed,H_in-C_out.18_angle,E_in-C_out.7_x,E_in-C_out.7_y,E_in-C_out.7_speed,E_in-C_out.7_angle,H_in-C_out.19_x,H_in-C_out.19_y,H_in-C_out.19_speed,H_in-C_out.19_angle,H_in-C_out.20_x,H_in-C_out.20_y,H_in-C_out.20_speed,H_in-C_out.20_angle,H_in-C_out.21_x,H_in-C_out.21_y,H_in-C_out.21_speed,H_in-C_out.21_angle,H_in-C_out.22_x,H_in-C_out.22_y,H_in-C_out.22_speed,H_in-C_out.22_angle,H_in-C_out.23_x,H_in-C_out.23_y,H_in-C_out.23_speed,H_in-C_out.23_angle,H_in-C_out.24_x,H_in-C_out.24_y,H_in-C_out.24_speed,H_in-C_out.24_angle,E_in-C_out.8_x,E_in-C_out.8_y,E_in-C_out.8_speed,E_in-C_out.8_angle,conflict_3a_x,conflict_3a_y,conflict_3a_speed,conflict_3a_angle,H_in-C_out.25_x,H_in-C_out.25_y,H_in-C_out.25_speed,H_in-C_out.25_angle,H_in-C_out.26_x,H_in-C_out.26_y,H_in-C_out.26_speed,H_in-C_out.26_angle,H_in-C_out.27_x,H_in-C_out.27_y,H_in-C_out.27_speed,H_in-C_out.27_angle,E_in-C_out.9_x,E_in-C_out.9_y,E_in-C_out.9_speed,E_in-C_out.9_angle,E_in-C_out.10_x,E_in-C_out.10_y,E_in-C_out.10_speed,E_in-C_out.10_angle,E_in-C_out.11_x,E_in-C_out.11_y,E_in-C_out.11_speed,E_in-C_out.11_angle,H_in-C_out.28_x,H_in-C_out.28_y,H_in-C_out.28_speed,H_in-C_out.28_angle,H_in-K_out.0_x,H_in-K_out.0_y,H_in-K_out.0_speed,H_in-K_out.0_angle,Q_in-J_out.0_x,Q_in-J_out.0_y,Q_in-J_out.0_speed,Q_in-J_out.0_angle,scenario,participant_id,source_file
16687,16687,506.3,1568729546.1833336,506.3,-103.85068874519631,617.9504227767751,48.9075052545399,633.2340709099174,0.9979942440986632,601.5871088577487,75.98583724182421,667.5632677590228,0.9876503944396972,620.8558411770622,16.736381053146452,674.3068749103091,0.9832197427749634,567.9270463394728,113.27985358674204,666.5695485682583,0.8996802568435669,588.964733231225,-19.530550458147065,669.767155983377,0.756252646446228,493.1857945339122,150.57342219822732,531.2616454006579,0.5621318221092224,506.1594484475496,-58.6085181820314,533.9613569154235,0.9855647087097168,618.6406291118967,238.24519054187542,359.7976900335383,0.8128793239593506,611.8389689556699,-126.02260627222384,329.3900435610081,0.2942960858345032,769.5311914915883,271.5482607371796,233.8260913058448,0.9519976377487184,773.5305977235538,-172.92239907469894,190.18084545242888,0.4196926951408386,413.4361993578838,159.77646209913928,201.27221718452128,0.41200050711631775,416.9184771612776,-49.02020022848434,138.69557284776303,0.2315162718296051,735.8234171315238,225.11209402543383,60.86102153345954,0.07261183857917786,816.6527458031321,-26.984608473137445,86.80132946938515,0.3938747644424439,273.9587584587072,274.2176028690057,-766.714946199464,0.0008428990840911865,557.6335831848116,-68.25443155050874,-469.48115514859717,0.2322678864002228,3209.75,792.87,3.1,358.96,3204.29,202.09,7.99,179.51,3201.44,628.78,6.8,179.46,3203.35,621.53,6.96,179.46,3207.0,112.35,7.58,179.26,3205.47,263.49,7.08,179.75,3205.4,278.21,7.11,179.77,3205.35,292.32,7.07,179.77,3204.55,491.21,7.54,179.77,3012.55,881.45,7.0,89.71,3204.49,505.74,7.44,179.46,2998.38,881.08,7.97,89.71,2760.02,880.14,6.99,89.69,2772.74,879.91,7.99,89.69,2663.36,878.71,7.98,75.14,2652.0,873.09,7.96,39.02,2658.82,778.44,7.95,346.68,3200.74,1086.42,8.27,179.45,3205.86,767.75,3.44,359.99,2696.0,689.39,7.99,322.4,2770.15,599.78,7.95,319.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3a,16,1568728996
16688,16688,506.3336146366525,1568729546.217028,506.3336146366525,-89.11617363211687,613.8385781695422,49.64909878628857,630.4476945278808,0.9977977275848388,597.0338488526397,76.89927009318956,665.8515815575606,0.9841207265853882,619.0625364481263,16.706841460307196,674.2688765114292,0.9829052090644836,572.7344893208826,113.08554679190529,669.3122996199512,0.8567541837692261,596.0980619609695,-18.92804270325863,673.9868512816978,0.75390625,496.88895464109567,149.725083898582,534.6939783046888,0.5645076036453247,505.54546657129686,-56.41764627277896,535.2650581849787,0.9864342212677002,611.661737483372,234.793455491414,356.06479728451797,0.8851977586746216,606.6622474458968,-127.77579667528364,325.8049407760755,0.25355735421180725,749.9822242808239,270.5545730916479,227.42058933292745,0.9364144802093506,769.5675991534457,-173.82052031838032,184.15732268224264,0.3589629232883453,410.4177558723149,155.11927389775275,201.2295891026137,0.12300989031791687,407.9562740404052,-49.23810918571578,134.60365328535576,0.22395175695419312,678.8808047759097,184.2454630121647,43.388583305758196,0.2224818468093872,742.0453382563803,-42.669956815042745,35.96092491948025,0.7224327325820923,295.005077006787,213.94307701305942,-739.8498121191292,0.0023713409900665283,553.5851769810843,-68.24243008520017,-475.7887153069058,0.2834157943725586,3209.746638536334,792.9742053736228,3.09663853633475,358.88604779936446,3204.293361463665,201.8244443704453,7.973192681673751,179.51,3201.44,628.551420470763,6.79663853633475,179.46,3203.3533614636654,621.2946975434323,6.9667229273305,179.46,3207.003361463665,112.09116729777577,7.610253172987249,179.26,3205.47,263.25133607976727,7.0732770726695,179.75,3205.403361463665,277.9746975434325,7.083108290678,179.77,3205.35,292.08133607976725,7.07336146366525,179.77,3204.55,490.9578902251062,7.5332770726695,179.77,3012.7853024565675,881.45,7.0,89.71,3204.49,505.4878902251063,7.4601687819914995,179.46,2998.64891709322,881.08,7.9767229273305,89.71,2760.2519409929023,880.1433614636653,6.979915609004251,89.69,2773.00891709322,879.9133614636653,7.99,89.69,2663.6356400205505,878.7973980552965,7.966554145339002,74.64586484120827,2652.1680731832625,873.3017722109108,8.000337563982999,39.02,2658.7561321903604,778.7021941658894,7.963445854661,346.68,3200.743361463665,1086.1409985157843,8.28008439099575,179.45,3205.86,767.8743741556143,3.5206751279659967,359.99,2695.8352882804033,689.605133674576,7.9832770726695,322.4,2769.985288280403,599.9917722109108,7.960084390995751,319.470675127966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3a,16,1568728996
16689,16689,506.3666493825282,1568729546.250141,506.3666493825282,-85.80501008853959,621.7385338229145,49.5184521891535,632.8278750185458,0.9979049563407898,605.1451684271377,76.64356641702939,667.6476996599563,0.9872869849205016,622.5399593426032,17.79030175571095,676.482077678488,0.9814614057540894,575.9095607749689,114.37468635836115,669.3491086195951,0.8713059425354004,596.8659812711174,-17.145309414431054,675.4604671865334,0.7761019468307495,492.02744407126977,149.0023951165794,533.9304406577573,0.6049878597259521,505.71925528745794,-57.316953378174404,534.8931505401318,0.9853971600532532,610.8878584271142,236.20958213114207,355.77749932416305,0.8651885390281677,605.5783132714621,-128.05522109902884,326.6406588430017,0.2328818738460541,761.1130151510338,269.65746713284665,233.93499350209274,0.9304064512252808,781.0888431162233,-172.15190884189857,192.3865818474146,0.3800144791603088,418.405912247117,154.00948558872474,209.1676001316724,0.11918511986732486,412.980612653384,-50.092036692807035,145.44781789101552,0.16620159149169922,659.3969650508374,167.779741688931,32.2863315658004,0.2592871189117432,703.1786289978395,-47.075446547160645,5.909234798052295,0.7974972128868103,280.87702429205115,189.16265358099815,-755.4936790340564,0.003651738166809082,547.3571865027321,-67.30727571924547,-480.74881183307286,0.3551462292671204,3209.7433350617466,793.0766130858373,3.093335061747186,358.81337135843813,3204.2966649382533,201.56346987802772,7.9566753087359325,179.51,3201.44,628.3267841988087,6.793335061747188,179.46,3203.3566649382533,621.0634543223032,6.973329876505628,179.46,3207.0066649382534,111.83679975453337,7.6399844442753215,179.26,3205.47,263.01678938405024,7.066670123494372,179.75,3205.406664938253,277.743454322303,7.056680493977492,179.77,3205.35,291.84678938405017,7.076664938252812,179.77,3204.55,490.71012963103897,7.526670123494372,179.77,3013.016545677697,881.45,7.0,89.71,3204.49,505.240129631039,7.47998962951688,179.46,2998.913195060225,881.08,7.9833298765056275,89.71,2760.479880739444,880.1466649382527,6.9700051852415585,89.69,2773.273195060225,879.9166649382527,7.99,89.69,2663.906524936731,878.883288394573,7.9533402469887475,74.16025407683642,2652.333246912641,873.5098911099273,8.039979259033762,39.02,2658.693366173197,778.9598651837193,7.976659753011254,346.68,3200.746664938253,1085.8668101250164,8.28999481475844,179.45,3205.86,767.9966027153541,3.599958518067524,359.99,2695.6734180256117,689.8165560481799,7.976670123494372,322.4,2769.823418025612,600.1998911099272,7.969994814758442,319.5499585180675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3a,16,1568728996
16690,16690,506.4,1568729546.2835705,506.4,-85.80501008853959,622.4710908235909,48.854427818015395,632.440401184321,0.9977660775184632,608.9988211247877,76.94329695235834,669.4722626209136,0.9851077795028688,617.2496759313402,16.593040942495943,674.1242241003056,0.980701744556427,579.6303308136771,114.57095780516138,670.541544708061,0.8686718344688416,592.8812548580208,-17.900658139121486,674.4378838517728,0.7641953825950623,506.2025160743,148.85859842916315,539.2351489896749,0.564480185508728,505.63938495678144,-55.53402915368412,535.0782636476093,0.9853672981262208,618.0804926596259,237.648993784576,361.080205429391,0.8664554357528687,598.41910991627,-127.6633858849012,326.11364537658307,0.2638160586357117,756.419913780609,268.34139967906896,231.4805834876984,0.943916916847229,777.8430673119275,-171.6321053574995,189.94167042809121,0.5315209627151489,420.0443199220056,152.0610808881313,215.5082502331802,0.06556349992752075,408.8020441493322,-53.20422635107237,152.83646071968641,0.0289766788482666,648.4516309957125,159.52190139512285,25.370913801252783,0.397857129573822,719.4666997679445,-39.776891187052215,19.170267385378338,0.7203001976013184,291.11745253288973,179.55781192131872,-706.37511590033,0.02224394679069519,528.3621070917525,-67.02270015967541,-499.0206085999967,0.4066152572631836,3209.74,793.18,3.09,358.74,3204.3,201.3,7.94,179.51,3201.44,628.1,6.79,179.46,3203.36,620.83,6.98,179.46,3207.01,111.58,7.67,179.26,3205.47,262.78,7.06,179.75,3205.41,277.51,7.03,179.77,3205.35,291.61,7.08,179.77,3204.55,490.46,7.52,179.77,3013.25,881.45,7.0,89.71,3204.49,504.99,7.5,179.46,2999.18,881.08,7.99,89.71,2760.71,880.15,6.96,89.69,2773.54,879.92,7.99,89.69,2664.18,878.97,7.94,73.67,2652.5,873.72,8.08,39.02,2658.63,779.22,7.99,346.68,3200.75,1085.59,8.3,179.45,3205.86,768.12,3.68,359.99,2695.51,690.03,7.97,322.4,2769.66,600.41,7.98,319.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3a,16,1568728996
16691,16691,506.4334156570697,1568729546.3170226,506.4334156570697,-85.80501008853959,619.1972709346222,50.45275969194432,630.6659065616286,0.9977848529815674,594.7343666877912,77.61781780446569,663.1323751407757,0.9864163398742676,625.0281078509896,19.325652714356067,676.459148459358,0.9843068122863772,573.6163951423747,113.98969500630524,665.6481299616822,0.8639004230499268,593.2637531489155,-15.796322618058245,672.1915940140644,0.8088855743408203,500.8528999368857,148.39567165699884,538.9088925302367,0.5919539332389832,509.723193067265,-55.23796353756342,539.1669812422036,0.9202066659927368,617.6370976456732,237.80231983155326,364.310395725919,0.8681367039680481,598.93772193932,-127.27019009980266,326.99661641817687,0.24429798126220706,774.7221197511934,272.0666456522052,239.6335761203603,0.8710088729858398,770.2907880613649,-173.6300327233835,185.08472253279405,0.3870315551757813,415.7286305363672,151.4606977440573,211.64909136687274,0.07313084602355957,407.60483335822266,-55.40731733450556,144.98324446342477,0.1468120813369751,656.1663699242692,157.01317334379303,38.13778715617545,0.4355267286300659,769.9647735112708,-36.161119721876695,56.03237516990279,0.8852696418762207,355.69758477992417,165.2511204031484,-582.1772855746975,0.028574377298355106,514.3750570828013,-65.7964723642002,-512.1298122078666,0.3690112233161926,3209.736658434293,793.2835885369159,3.0866584342930334,358.6865349486885,3204.3,201.02933317773574,7.950024697120898,179.49329217146516,3201.4433415657068,627.8727735319262,6.793341565706966,179.46,3203.363341565707,620.5960904005124,6.9733168685860685,179.46,3207.013341565707,111.3260410062706,7.67,179.26,3205.473341565707,262.5460904005124,7.056658434293034,179.75,3205.41,277.2727488348054,7.043366262827863,179.7633168685861,3205.35,291.3760904005124,7.063292171465171,179.77,3204.553341565707,490.21272413768446,7.496609040051237,179.77,3013.483909599488,881.45,6.983292171465171,89.71,3204.493341565707,504.7360410062706,7.523390959948762,179.46334156570697,2999.447325256557,881.08,7.99,89.71,2760.943909599488,880.15,6.9700246971208975,89.69,2773.80398369085,879.92,7.983316868586067,89.69,2664.4005433366597,879.0501975769673,7.956707828534831,72.83126700755153,2652.6737614167623,873.9305186395387,8.120098788483592,39.02,2658.5698518172744,779.4806421251434,7.983316868586067,346.68,3200.7533415657067,1085.3126500463218,8.3,179.45,3205.86,768.2336132340369,3.5931192916188834,359.99,2695.349604846065,690.2405186395388,7.966658434293034,322.4,2769.496263280358,600.6238602052457,7.983341565706966,319.70685601126024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3a,16,1568728996
16692,16692,506.4667389083253,1568729546.350382,506.4667389083253,-85.80501008853959,618.8167840415505,50.519466696102675,630.9353994045921,0.99781996011734,605.1952020339705,78.29458999514183,667.0670092423195,0.986952304840088,617.6597971740872,19.11566451747033,673.606495220596,0.9854609370231628,568.7282339503319,114.69460646507187,665.7195287272001,0.8516932129859924,586.7669647471109,-17.231332579573916,669.6803803709051,0.7911018133163452,499.5541758394802,148.69100907571203,539.0836610414042,0.5728330016136169,516.054414904243,-53.170388751684996,537.9628909890023,0.9825091361999512,611.2018264477435,230.04759909783044,367.1167192323325,0.9868279695510864,602.1025409259211,-126.21465212312454,328.1860748997002,0.18396469950675964,775.9172424966722,272.0977773578217,242.3555086598848,0.891757607460022,772.6655121719017,-173.53484411435485,188.6732590142153,0.463225781917572,412.7258113968738,147.91284860952317,212.42869872223045,0.050129860639572144,402.57547434265854,-55.70481725738922,151.6986381267674,0.0133037269115448,665.0977064471082,153.14482781030932,46.11062728647829,0.4499768614768982,692.6686669034268,-42.27184018610506,-2.7041678290062805,0.677390992641449,351.83817862553263,167.78366013474943,-596.6956093508862,0.013452112674713137,494.0854820823528,-65.65883744015697,-535.5290538727942,0.3694562911987305,3209.733326109168,793.3868906158085,3.0833261091674653,358.63321774667946,3204.3,200.7594148425647,7.960021672497604,179.47663054583734,3201.446673890832,627.6461754233876,6.796673890832535,179.46,3203.3666738908323,620.3628276417227,6.9666522183349295,179.46,3207.0166738908324,111.07278429672735,7.67,179.26,3205.4766738908324,262.31282764172255,7.053326109167465,179.75,3205.41,277.03615375089004,7.056695563330139,179.75665221833492,3205.35,291.14282764172265,7.046630545837327,179.77,3204.5566738908324,489.96613207839243,7.473282764172258,179.77,3013.717172358277,881.45,6.966630545837328,89.71,3204.4966738908324,504.48278429672735,7.5467172358277415,179.4666738908325,2999.7139112666027,881.08,7.99,89.71,2761.177172358277,880.15,6.980021672497604,89.69,2774.0672373757698,879.92,7.97665221833493,89.69,2664.6204767949475,879.1301733799809,7.973369454162674,71.99485340103378,2652.847042323292,874.1404551224498,8.160086689990418,39.02,2658.509869965015,779.7405634849378,7.97665221833493,346.68,3200.756673890833,1085.0360670608998,8.3,179.45,3205.86,768.3469122883063,3.506478838354097,359.99,2695.189653240039,690.4504551224496,7.963326109167465,322.4,2769.3329793492053,600.8371290132823,7.986673890832535,319.7834994891483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3a,16,1568728996
16693,16693,506.5,1568729546.3836794,506.5,-103.74288335241494,610.2122851232375,49.68117242291722,629.2921027921918,0.9977728128433228,608.5917624306735,77.6511209413608,670.2930081002951,0.9843426942825316,620.6539491008539,17.970175899622053,674.7880486113124,0.9836480617523192,578.7138310329741,115.20709972036323,670.5194376792845,0.8820768594741821,588.7030292564659,-18.274062087217885,671.1695292115462,0.759663462638855,506.72990353346086,147.95510872175868,542.5672526701429,0.5195347666740417,512.5032978419556,-53.05066636932787,535.3838097672152,0.9822162985801696,602.3630273533497,231.868576920052,363.25559798504645,0.987503170967102,623.0921110427224,-123.50048982690215,325.03976701591216,0.5484606623649597,766.2365871383053,276.18393061139085,234.12378528667512,0.8889760971069336,770.7069665109883,-172.96608371873074,188.49252562900142,0.4247548580169678,418.1661704662071,143.25437338561687,215.65348605318584,0.06716841459274292,394.889202277388,-57.792242222677814,138.70951899127238,0.11720353364944458,664.8290242753955,149.04019242007843,45.80227889372094,0.3643785715103149,732.6611410132083,-44.979734513242825,28.906477272619725,0.7632856369018555,410.2329584186458,157.68159226046075,-505.0353256281292,0.02496930956840515,467.2894123419638,-66.97359837581661,-562.3153102809406,0.277377724647522,3209.73,793.49,3.08,358.58,3204.3,200.49,7.97,179.46,3201.45,627.42,6.8,179.46,3203.37,620.13,6.96,179.46,3207.02,110.82,7.67,179.26,3205.48,262.08,7.05,179.75,3205.41,276.8,7.07,179.75,3205.35,290.91,7.03,179.77,3204.56,489.72,7.45,179.77,3013.95,881.45,6.95,89.71,3204.5,504.23,7.57,179.47,2999.98,881.08,7.99,89.71,2761.41,880.15,6.99,89.69,2774.33,879.92,7.97,89.69,2664.84,879.21,7.99,71.16,2653.02,874.35,8.2,39.02,2658.45,780.0,7.97,346.68,3200.76,1084.76,8.3,179.45,3205.86,768.46,3.42,359.99,2695.03,690.66,7.96,322.4,2769.17,601.05,7.99,319.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3a,16,1568728996
16694,16694,506.53346701275404,1568729546.417125,506.53346701275404,-96.47105390342251,613.1150362490442,51.09842431092316,630.7499341375568,0.998091161251068,601.703073187407,77.79040832393108,668.0559823552437,0.9859945774078368,621.0880124917247,18.746948748972024,674.3861411498533,0.9864845275878906,576.438501276968,115.260537000498,669.7355017008235,0.888335645198822,584.2109162250831,-18.862560060977625,668.4914181315672,0.7986074686050415,499.2816141746624,151.93926341918544,540.2319242144112,0.9799636602401732,512.5870220267955,-54.12941269159524,534.5274601504989,0.9832225441932678,596.938909037856,230.22974055252845,362.2817902936123,0.9887359142303468,620.0078093292841,-124.4424473760966,332.26488828261023,0.18601170182228088,769.1040326224428,275.93976433507197,235.5536167169433,0.8971455097198486,778.5416090529181,-172.3536623529327,192.97533438741482,0.4873911738395691,414.3607296499852,136.70375402368478,212.86315846780025,0.060038894414901726,406.254191452743,-55.932214989709045,154.15865754921003,0.0066320598125457755,671.6408226989223,144.90771044050055,57.065390749736565,0.3911155462265015,605.4609080187287,-58.115132266051816,-61.94328273703249,0.7888707518577576,439.2367383429264,148.93460561328138,-458.74774297576636,0.03258490562438965,442.4683512210753,-68.4316159437019,-589.2594700932311,0.09991887211799624,3209.726653298725,793.5937477395375,3.083346701275404,358.54987968852134,3204.3066934025514,200.22226389796768,7.9800401038262105,179.41649288341975,3201.453346701275,627.1924243132727,6.8033467012754025,179.46,3203.37,619.8990776119972,6.966693402550808,179.46,3207.023346701276,110.5623040017939,7.656613194898385,179.26,3205.48,261.8457309107217,7.0299197923475765,179.75,3205.41,276.5657309107217,7.056613194898385,179.75,3205.3533467012758,290.67573091072177,7.023306597449192,179.77,3204.56,489.4689974043448,7.466733506377019,179.77,3014.184269089278,881.4533467012753,6.963386805101616,89.71,3204.5,503.9756507030692,7.546573091072174,179.48673350637702,3000.2477361020324,881.0833467012753,7.9799598961737885,89.71,2761.644269089278,880.15,6.9799598961737885,89.69,2774.5977361020323,879.92,7.95995989617379,89.69,2665.0408020765244,879.2434670127541,7.976613194898385,72.3279987451159,2653.194028466321,874.5675355829013,8.230120311478633,39.02,2658.3897593770425,780.257695998206,7.9733467012754025,346.68,3200.763346701276,1084.4855704954168,8.283266493622982,179.45,3205.86,768.5804812459146,3.47354722040646,359.99,2694.866011637505,690.8708421803505,7.956653298724596,322.4,2769.012705040056,601.2641888816257,7.9866532987245975,319.9403208306097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3a,16,1568728996
16695,16695,506.5682089502389,1568729546.4518447,506.5682089502389,-89.89875258697103,612.9719602081125,50.30324431465868,631.495768384962,0.99785053730011,598.9116443544872,77.14562489255891,667.3821733985857,0.9848458766937256,617.4059615476796,18.10104344824233,673.4624323652722,0.9816729426383972,571.5092333445567,114.96241109609848,669.1973764316467,0.8643393516540527,585.1952510011606,-18.41340703279268,669.7061484088882,0.78910893201828,504.5193242723303,149.37395441968582,542.3935840753968,0.5562149286270142,512.452329272946,-54.563430670487385,534.7590773939237,0.9841043949127196,609.8707501552608,234.00195858558467,365.9906726949643,0.9131262302398682,610.6028214062054,-126.53822468786665,329.5156642026256,0.18010824918746948,765.7079506012508,275.4980824393341,233.1180462434395,0.8664060831069946,775.8767040271001,-173.66991856747566,188.1225891142616,0.6026664972305298,418.8312411885617,131.82228939732798,215.82226276049417,0.0624643862247467,410.1383311964818,-56.19580270899198,160.16210798970056,0.004246503114700317,677.1099066737531,142.58324097136094,62.4545695737134,0.3321011960506439,520.9668145057734,-65.83899898425773,-122.47581731719606,0.7998584508895874,454.97225175760667,153.0282525580879,-474.5281919034975,0.027712583541870117,426.61636168829534,-71.87370518805258,-605.9692584602433,0.05938014388084412,3209.723179104976,793.7014477457402,3.0868208950238825,358.5186119447851,3204.313641790048,199.9443283980894,7.990462685071647,179.37132836468953,3201.4568208950236,626.956179138376,6.806820895023883,179.46,3203.37,619.6593582433521,6.973641790047767,179.46,3207.026820895024,110.29479108316104,7.642716419904469,179.26,3205.48,261.60253734832816,7.0090746298567055,179.75,3205.41,276.32253734832824,7.042716419904469,179.75,3205.3568208950237,290.4325373483282,7.0163582099522355,179.77,3204.56,489.20843287320884,7.484104475119412,179.77,3014.4274626516717,881.456820895024,6.977283580095531,89.71,3204.5,503.711611978185,7.522253734832822,179.5041044751194,3000.525671601911,881.086820895024,7.969537314928353,89.71,2761.8874626516717,880.15,6.969537314928353,89.69,2774.875671601911,879.92,7.949537314928353,89.69,2665.249253701433,879.2782089502388,7.962716419904469,73.540492363335,2653.3746865412413,874.7933581765524,8.261388055214942,39.02,2658.32722388957,780.5252089168389,7.976820895023883,346.68,3200.766820895024,1084.2006866080417,8.265895524880587,179.45,3205.86,768.7055522208597,3.5291343203821204,359.99,2694.69577614383,691.0897163865046,7.953179104976118,322.4,2768.849417933877,601.4865372815285,7.983179104976117,320.0237014805732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3a,16,1568728996
16696,16696,506.6,1568729546.4836154,506.6,-92.31533006682986,609.5122465912953,49.86192538652721,630.0459041150992,0.997818648815155,596.5140688338058,76.48152676300836,666.546477324885,0.984862744808197,613.7043734461164,18.04454301810746,671.9684800334655,0.9831424951553344,567.5531934991927,114.19889892719969,668.0933925607253,0.8446899652481079,585.4546042526557,-19.836136111606237,669.6276060509625,0.8160973787307739,506.1083405884305,148.37663921734978,542.1484320425994,0.5349733829498291,512.6571075458171,-53.51227530309285,534.3398982034204,0.9822193384170532,608.8008891859064,231.87757764196166,360.6110253718178,0.9196213483810424,612.4812103955046,-126.76211965163976,332.57770154928846,0.19724968075752256,755.6257403904888,272.8229032978818,234.00894853788338,0.93177592754364,789.1521467265163,-174.3628474698613,197.60293641172558,0.4981860518455506,416.996059568792,128.59695561795772,215.83485218153268,0.06222605705261231,413.8109524308809,-54.638806508062935,162.75359707285628,0.005755901336669922,679.6015106489099,139.68573188662688,66.2596728128689,0.2672274708747864,528.478312287197,-60.55940228017642,-119.88915092759802,0.5531736016273499,459.90590040625284,130.12926096444858,-488.9220271442736,0.03583475947380066,422.75955955247565,-78.33779060686953,-619.4293911633871,0.04234498739242554,3209.72,793.8,3.09,358.49,3204.32,199.69,8.0,179.33,3201.46,626.74,6.81,179.46,3203.37,619.44,6.98,179.46,3207.03,110.05,7.63,179.26,3205.48,261.38,6.99,179.75,3205.41,276.1,7.03,179.75,3205.36,290.21,7.01,179.77,3204.56,488.97,7.5,179.77,3014.65,881.46,6.99,89.71,3204.5,503.47,7.5,179.52,3000.78,881.09,7.96,89.71,2762.11,880.15,6.96,89.69,2775.13,879.92,7.94,89.69,2665.44,879.31,7.95,74.65,2653.54,875.0,8.29,39.02,2658.27,780.77,7.98,346.68,3200.77,1083.94,8.25,179.45,3205.86,768.82,3.58,359.99,2694.54,691.29,7.95,322.4,2768.7,601.69,7.98,320.1,2772.19,597.33,6.65,318.43,,,,,,,,,,,,,,,,,,,,,,,,,3a,16,1568728996
